harga,alamat,fasilitas,spesifikasi
"Rp 1,13 Miliar","Panongan, Tangerang","CCTV, Jogging Track, Keamanan,Taman,Tempat Jemuran,Keamanan 24 jam, One Gate System, Playground,Pemanas Air,Wastafel,Tempat Gym,Track Lari","[['Kamar Tidur', '3'], ['Kamar Mandi', '2'], ['Luas Tanah', '84 m²'], ['Luas Bangunan', '82 m²'], ['Carport', '2'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'HGB - Hak Guna Bangunan'], ['Daya Listrik', '2200 Watt'], ['Dapur', '1'], ['Ruang Makan', 'Tidak'], ['Ruang Tamu', 'Tidak'], ['Kondisi Perabotan', 'Unfurnished'], ['Material Bangunan', 'Bata Merah'], ['Material Lantai', 'Marmer'], ['Garasi', '2'], ['Jumlah Lantai', '2'], ['Hadap', 'Utara'], ['Konsep dan Gaya Rumah', 'Scandinavian'], ['Pemandangan', 'Perkotaan'], ['Terjangkau Internet', 'Ya'], ['Lebar Jalan', '2 Mobil'], ['Tahun Dibangun', '2023'], ['Sumber Air', 'PAM atau PDAM'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Baru'], ['ID Iklan', 'hos14917674']]"
Rp 640 Juta,"Panongan, Tangerang"," Jalur Telepon, Jogging Track,Keamanan,Kolam Renang, Taman, CCTV,Keamanan 24 jam, One Gate System, Playground,Lapangan Bulu Tangkis,Tempat Gym, Track Lari","[['Kamar Tidur', '2'], ['Kamar Mandi', '1'], ['Luas Tanah', '72 m²'], ['Luas Bangunan', '38 m²'], ['Carport', '1'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '2200 Watt'], ['Dapur', '1'], ['Ruang Makan', 'Tidak'], ['Ruang Tamu', 'Tidak'], ['Kondisi Perabotan', 'Unfurnished'], ['Material Bangunan', 'Bata Hebel'], ['Material Lantai', 'Granit'], ['Jumlah Lantai', '1'], ['Hadap', 'Selatan'], ['Konsep dan Gaya Rumah', 'Minimalis Modern'], ['Pemandangan', 'Pedesaan'], ['Terjangkau Internet', 'Ya'], ['Lebar Jalan', '2 Mobil'], ['Tahun Dibangun', '2023'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Baru'], ['ID Iklan', 'hos14983407']]"
Rp 325 Juta,"Panongan, Tangerang",Tempat Jemuran,"[['Kamar Tidur', '2'], ['Kamar Mandi', '1'], ['Luas Tanah', '60 m²'], ['Luas Bangunan', '42 m²'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '1300 Watt'], ['Ruang Makan', 'Tidak'], ['Ruang Tamu', 'Tidak'], ['Kondisi Perabotan', 'Unfurnished'], ['Garasi', '1'], ['Terjangkau Internet', 'Tidak'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Bagus'], ['ID Iklan', 'hos14927950']]"
Rp 350 Juta,"Panongan, Tangerang",Tempat Jemuran,"[['Kamar Tidur', '4'], ['Kamar Mandi', '3'], ['Luas Tanah', '102 m²'], ['Luas Bangunan', '78 m²'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'Lainnya (PPJB,Girik,Adat,dll)'], ['Daya Listrik', '2200 Watt'], ['Dapur', '1'], ['Ruang Makan', 'Tidak'], ['Ruang Tamu', 'Tidak'], ['Kondisi Perabotan', 'Unfurnished'], ['Garasi', '3'], ['Jumlah Lantai', '2'], ['Terjangkau Internet', 'Tidak'], ['Sumber Air', 'PAM atau PDAM'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Bagus'], ['ID Iklan', 'hos14928214']]"
Rp 450 Juta,"Panongan, Tangerang",,"[['Kamar Tidur', '2'], ['Kamar Mandi', '1'], ['Luas Tanah', '115 m²'], ['Luas Bangunan', '115 m²'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '1300 Watt'], ['Garasi', '1'], ['Kondisi Properti', 'Unfurnished'], ['ID Iklan', 'hos14928197']]"
Rp 275 Juta,"Panongan, Tangerang",Tempat Jemuran,"[['Kamar Tidur', '2'], ['Kamar Mandi', '1'], ['Luas Tanah', '60 m²'], ['Luas Bangunan', '60 m²'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '1300 Watt'], ['Dapur', '1'], ['Ruang Makan', 'Tidak'], ['Ruang Tamu', 'Tidak'], ['Kondisi Perabotan', 'Unfurnished'], ['Garasi', '1'], ['Jumlah Lantai', '1'], ['Terjangkau Internet', 'Tidak'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Bagus'], ['ID Iklan', 'hos14928127']]"
Rp 630 Juta,"Panongan, Tangerang","Keamanan 24 jam,Masjid, One Gate System, Taman","[['Kamar Tidur', '2'], ['Kamar Mandi', '2'], ['Luas Tanah', '72 m²'], ['Luas Bangunan', '40 m²'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '1300 Watt'], ['Ruang Makan', 'Tidak'], ['Ruang Tamu', 'Tidak'], ['Kondisi Perabotan', 'Unfurnished'], ['Jumlah Lantai', '1'], ['Konsep dan Gaya Rumah', 'Minimalis Modern'], ['Terjangkau Internet', 'Tidak'], ['Sumber Air', 'PAM atau PDAM'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Bagus'], ['ID Iklan', 'hos15224743']]"
"Rp 1,13 Miliar","Panongan, Tangerang","Jalur Telepon, Taman,Tempat Jemuran,Akses Parkir, CCTV,Keamanan 24 jam, One Gate System","[['Kamar Tidur', '3'], ['Kamar Mandi', '2'], ['Luas Tanah', '84 m²'], ['Luas Bangunan', '82 m²'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '2200 Watt'], ['Ruang Makan', 'Ya'], ['Ruang Tamu', 'Ya'], ['Garasi', '1'], ['Jumlah Lantai', '2'], ['Terjangkau Internet', 'Ya'], ['Lebar Jalan', '3 Mobil'], ['Sumber Air', 'PAM atau PDAM'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Baru'], ['ID Iklan', 'hos15231032']]"
Rp 310 Juta,"Panongan, Tangerang",Tempat Jemuran,"[['Kamar Tidur', '2'], ['Kamar Mandi', '2'], ['Luas Tanah', '60 m²'], ['Luas Bangunan', '60 m²'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'HGB - Hak Guna Bangunan'], ['Daya Listrik', '1300 Watt'], ['Ruang Makan', 'Tidak'], ['Ruang Tamu', 'Tidak'], ['Kondisi Perabotan', 'Unfurnished'], ['Garasi', '1'], ['Jumlah Lantai', '1'], ['Terjangkau Internet', 'Tidak'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Bagus'], ['ID Iklan', 'hos15193552']]"
Rp 540 Juta,"Panongan, Tangerang","Taman,Tempat Jemuran,Keamanan 24 jam","[['Kamar Tidur', '2'], ['Kamar Mandi', '1'], ['Luas Tanah', '72 m²'], ['Luas Bangunan', '36 m²'], ['Carport', '1'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '2200 Watt'], ['Dapur', '1'], ['Ruang Makan', 'Ya'], ['Ruang Tamu', 'Ya'], ['Kondisi Perabotan', 'Unfurnished'], ['Jumlah Lantai', '1'], ['Hadap', 'Barat'], ['Terjangkau Internet', 'Tidak'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Bagus'], ['ID Iklan', 'hos14197744']]"
Rp 540 Juta,"Panongan, Tangerang","Taman,Tempat Jemuran,Keamanan 24 jam","[['Kamar Tidur', '2'], ['Kamar Mandi', '1'], ['Luas Tanah', '72 m²'], ['Luas Bangunan', '36 m²'], ['Carport', '1'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '2200 Watt'], ['Dapur', '1'], ['Ruang Makan', 'Ya'], ['Ruang Tamu', 'Ya'], ['Kondisi Perabotan', 'Unfurnished'], ['Jumlah Lantai', '1'], ['Hadap', 'Barat'], ['Terjangkau Internet', 'Tidak'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Bagus'], ['ID Iklan', 'hos14197747']]"
Rp 825 Juta,"Panongan, Tangerang","Taman,Masjid, Playground,Wastafel,Track Lari","[['Kamar Tidur', '2'], ['Kamar Mandi', '2'], ['Luas Tanah', '96 m²'], ['Luas Bangunan', '110 m²'], ['Carport', '1'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '2200 Watt'], ['Ruang Tamu', 'Ya'], ['Kondisi Perabotan', 'Unfurnished'], ['Material Bangunan', 'Bata Hebel'], ['Material Lantai', 'Granit'], ['Garasi', '1'], ['Jumlah Lantai', '2'], ['Konsep dan Gaya Rumah', 'Minimalis Modern'], ['Pemandangan', 'Pemukiman Warga'], ['Terjangkau Internet', 'Ya'], ['Lebar Jalan', '2 Mobil'], ['Sumber Air', 'PAM atau PDAM'], ['Hook', 'Tidak'], ['ID Iklan', 'hos14377976']]"
Rp 400 Juta,"Panongan, Tangerang",Tempat Jemuran,"[['Kamar Tidur', '2'], ['Kamar Mandi', '2'], ['Luas Tanah', '72 m²'], ['Luas Bangunan', '36 m²'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'Lainnya (PPJB,Girik,Adat,dll)'], ['Daya Listrik', '1300 Watt'], ['Ruang Makan', 'Tidak'], ['Ruang Tamu', 'Tidak'], ['Kondisi Perabotan', 'Unfurnished'], ['Garasi', '1'], ['Terjangkau Internet', 'Tidak'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Bagus'], ['ID Iklan', 'hos15190753']]"
