price,Kecamatan,komplek,Listrik,Lantai,KM,KMP,KP,KT,Kondisi,kondisi_properti,LB,LT,carport/Garage
2300,BSD Graha Raya,1,4400,2,3,1,1,3,Furnished,Bagus,120,135,1
2350,BSD Graha Raya,0,4400,2,3,1,1,5,Furnished,Bagus,250,210,1
2800,BSD Residence One,1,4400,2,4,1,1,3,Furnished,Bagus,220,160,1
1400,BSD Residence One,1,2200,2,2,1,1,3,Unfurnished,Bagus,120,90,1
1970,BSD Residence One,0,2200,2,3,0,0,4,Furnished,Bagus,135,108,1
2100,BSD Residence One,1,7700,2,3,1,1,3,Furnished,Bagus,147,108,1
3900,BSD Residence One,0,2200,1,1,0,0,1,Unfurnished,Bagus,399,250,0
925,Kelapa Dua,1,2200,2,1,0,0,4,Furnished,Bagus,132,84,1
525,Kelapa Dua,1,1300,1,1,0,0,2,Unfurnished,Bagus,36,60,1
1850,Pondok Ranji,1,2200,2,3,0,0,4,Unfurnished,Bagus,162,98,1
3500,Pondok Ranji,1,2200,2,3,1,1,4,Furnished,Bagus,200,120,1
1850,Pondok Ranji,1,2200,2,2,1,1,3,Unfurnished,Bagus,69,75,1
2140,BSD City,0,5500,3,3,0,1,3,Unfurnished,Bagus,170,105,1
5500,BSD City,0,4400,3,4,1,1,4,Unfurnished,Bagus,235,136,0
890,BSD City,0,3500,1,1,0,0,2,Unfurnished,Bagus,54,105,0
3900,BSD City,1,6600,1,2,1,1,5,Unfurnished,Bagus,300,360,1
960,BSD City,0,1300,1,1,0,0,2,Unfurnished,Bagus,54,72,1
1750,BSD City,0,1300,1,2,0,0,3,Unfurnished,Bagus,72,112,1
3800,BSD City,1,4400,2,2,0,0,4,Unfurnished,Bagus,265,200,1
1350,BSD City,0,2200,2,2,0,0,3,Unfurnished,Bagus,88,78,0
910,BSD City,0,1300,1,2,0,0,3,Unfurnished,Bagus,90,120,1
3500,BSD City,0,5500,2,5,1,1,4,Unfurnished,Bagus,220,180,1
970,BSD City,0,2200,2,2,0,1,4,Unfurnished,Bagus,120,133,0
960,BSD City,0,1300,2,2,0,0,2,Unfurnished,Bagus,41,72,0
810,BSD City,0,1300,1,1,0,1,2,Unfurnished,Bagus,60,72,0
6500,BSD City,0,6600,2,3,1,1,4,Furnished,Bagus,385,365,1
1100,Poris,0,1300,2,3,0,0,3,Furnished,Bagus,75,47,1
795,Poris,0,2200,1,1,0,0,1,Unfurnished,Bagus,60,66,0
1050,Poris,0,2200,1,1,0,0,1,Unfurnished,Bagus,100,50,0
1250,Poris,0,2200,2,2,0,0,3,Furnished,Bagus,66,55,1
1100,Poris,0,2200,2,2,0,0,3,Unfurnished,Bagus,104,52,1
1100,Poris,0,2200,3,2,0,0,3,Furnished,Bagus,98,48,1
1570,Poris,0,2200,1,1,0,0,1,Unfurnished,Bagus,130,70,0
1300,Poris,0,2200,1,2,0,0,3,Furnished,Bagus,63,90,1
1250,Poris,0,2200,2,2,0,0,3,Unfurnished,Bagus,120,60,1
1100,Poris,0,2200,2,2,0,0,3,Furnished,Bagus,75,50,1
1100,Poris,0,2200,2,2,0,0,3,Unfurnished,Bagus,100,60,1
950,Poris,0,2200,1,2,0,0,2,Unfurnished,Bagus,50,66,0
1100,Poris,0,2200,2,2,0,0,3,Unfurnished,Bagus,90,52,1
1100,Poris,0,2200,2,2,0,0,3,Furnished,Bagus,90,48,1
750,Poris,0,2200,1,1,0,0,2,Unfurnished,Bagus,55,60,1
850,Poris,0,2200,1,2,0,0,1,Unfurnished,Bagus,63,77,0
730,Poris,0,1300,1,1,0,0,2,Unfurnished,Bagus,60,60,0
800,Poris,0,1300,1,1,0,0,2,Unfurnished,Bagus,60,60,0
1100,Poris,0,2200,2,2,0,0,3,Furnished,Bagus,75,48,1
2450,Karang Tengah,0,4400,1,5,0,1,5,Furnished,Bagus,288,144,0
1950,Karang Tengah,1,2200,2,4,0,0,4,Unfurnished,Butuh renovasi,140,126,1
4350,Karang Tengah,0,6600,2,4,0,0,4,Unfurnished,Butuh renovasi,318,288,0
2450,Karang Tengah,0,4400,2,5,1,1,5,Furnished,Bagus,288,144,0
2450,Karang Tengah,0,4400,2,5,1,1,5,Unfurnished,Bagus,288,144,0
670,Karang Tengah,0,900,2,1,1,1,2,Furnished,Bagus,80,54,0
700,Karang Tengah,1,2200,2,1,1,1,2,Unfurnished,Bagus,72,54,1
3400,Karang Tengah,0,6600,2,6,0,0,7,Unfurnished,Bagus,300,280,0
895,Karang Tengah,1,2200,2,2,0,0,3,Unfurnished,Bagus,80,52,1
1400,Karang Tengah,0,3500,2,2,0,0,3,Unfurnished,Bagus,140,80,1
2450,Karang Tengah,0,4400,1,5,1,1,5,Furnished,Bagus,288,144,0
1900,Karang Tengah,0,3500,1,2,0,0,3,Unfurnished,Bagus,150,160,0
3400,Karang Tengah,0,4400,1,4,0,0,4,Unfurnished,Bagus,158,88,1
4200,Karang Tengah,0,6600,3,4,0,0,5,Furnished,Bagus,370,258,0
780,Pondok Benda,1,1300,2,2,0,0,3,Unfurnished,Bagus,70,60,1
497,Pondok Benda,1,1300,1,1,0,0,2,Unfurnished,Bagus,46,60,1
900,Pondok Benda,1,2200,2,3,0,0,3,Unfurnished,Bagus,72,72,1
1290,Pondok Benda,0,2200,2,2,0,0,3,Furnished,Bagus,114,141,1
925,Pondok Benda,1,2200,2,2,0,0,3,Unfurnished,Bagus,65,82,1
1050,Pondok Benda,0,2200,1,2,0,1,2,Unfurnished,Bagus,79,109,1
1200,Pondok Benda,1,2200,2,2,0,0,2,Furnished,Bagus,90,83,1
600,Pondok Benda,1,2200,2,2,0,0,3,Unfurnished,Bagus,55,60,1
6000,Pondok Benda,1,5500,2,4,1,2,4,Furnished,Bagus,250,300,1
1200,Pondok Benda,1,2200,2,3,0,0,3,Furnished,Bagus,90,83,1
599,Pondok Benda,1,2200,2,2,0,0,3,Furnished,Bagus,66,60,1
450,Pondok Benda,1,2200,1,1,0,0,2,Unfurnished,Bagus,39,66,1
450,Pondok Benda,1,2200,1,1,0,0,2,Unfurnished,Butuh renovasi,39,66,1
3000,Pondok Benda,0,4400,2,6,1,1,8,Furnished,Bagus,230,248,0
1470,Pondok Benda,1,2200,2,2,0,0,3,Furnished,Bagus,111,117,1
549,Pondok Benda,1,1300,1,1,0,0,2,Furnished,Bagus,48,72,1
500,Pondok Benda,0,1300,1,1,0,0,2,Unfurnished,Butuh renovasi,45,67,0
850,Pondok Benda,1,1300,2,2,0,0,3,Unfurnished,Bagus,100,82,1
700,Pondok Benda,1,1300,2,2,0,0,2,Furnished,Bagus,100,60,1
600,Pondok Benda,1,900,2,1,0,0,2,Unfurnished,Bagus,70,107,1
1950,Tangerang Kota,0,3300,2,2,0,0,4,Furnished,Bagus,160,218,1
2050,Tangerang Kota,0,4400,1,2,0,0,3,Furnished,Bagus,160,144,1
6200,Tangerang Kota,0,5500,2,5,0,0,5,Unfurnished,Bagus,200,181,1
2300,Tangerang Kota,1,4400,1,3,0,0,3,Furnished,Bagus,98,120,1
2200,Tangerang Kota,0,1300,1,1,0,0,1,Furnished,Bagus,100,188,0
1480,Tangerang Kota,1,1300,2,2,0,0,5,Unfurnished,Bagus,236,118,1
1850,Tangerang Kota,0,2200,1,1,0,0,1,Furnished,Bagus,120,88,0
1200,Tangerang Kota,1,2200,2,2,0,0,3,Furnished,Bagus,84,76,1
580,Tangerang Kota,0,2200,1,1,0,0,2,Unfurnished,Bagus,84,84,0
5500,Tangerang Kota,0,11000,2,4,1,2,3,Furnished,Bagus,400,400,0
1050,Tangerang Kota,0,2200,1,1,0,1,2,Furnished,Bagus,70,90,1
375,Tangerang Kota,1,1300,1,1,0,0,2,Unfurnished,Bagus,36,123,1
2000,Tangerang Kota,1,3300,2,6,1,1,4,Furnished,Bagus,504,168,0
1300,Tangerang Kota,0,1300,1,2,0,0,3,Unfurnished,Bagus,135,135,0
2500,Tangerang Kota,0,2200,1,2,0,0,3,Furnished,Butuh renovasi,180,216,0
3800,Tangerang Kota,0,5500,2,2,0,0,3,Furnished,Bagus,300,243,0
3000,Tangerang Kota,0,2200,1,3,0,0,4,Furnished,Bagus,180,200,0
2000,Tangerang Kota,0,2200,2,3,0,0,4,Furnished,Bagus,86,180,0
2700,Tangerang Kota,0,2200,1,3,0,0,4,Furnished,Bagus,132,132,0
750,Tangerang Kota,0,1300,1,2,0,0,3,Unfurnished,Bagus,100,72,1
2200,Ciledug,1,2200,2,4,0,0,4,Unfurnished,Bagus,165,180,1
2800,Ciledug,0,2200,1,4,0,1,5,Unfurnished,Bagus,270,384,0
700,Ciledug,0,1300,1,1,0,0,2,Unfurnished,Bagus,50,72,0
2450,Ciledug,1,2200,2,4,0,0,4,Furnished,Bagus,153,133,0
1200,Ciledug,0,1300,1,1,0,0,1,Unfurnished,Bagus,200,156,0
1400,Ciledug,1,2200,2,2,0,0,3,Furnished,Bagus,75,75,1
950,Ciledug,1,2200,2,2,0,0,3,Unfurnished,Bagus,77,72,1
927,Ciledug,1,2200,2,2,0,0,3,Unfurnished,Bagus,51,58,1
1840,Ciledug,1,2200,2,3,0,0,3,Unfurnished,Bagus,120,88,1
700,Ciledug,0,2200,2,3,0,1,3,Unfurnished,Bagus,126,90,1
425,Ciledug,1,1300,1,1,0,0,2,Furnished,Bagus,40,50,1
2450,Ciledug,0,2200,1,4,0,0,4,Furnished,Bagus,153,133,0
3500,Ciledug,0,5500,1,3,1,1,4,Unfurnished,Bagus,400,289,1
1850,Ciledug,1,2200,2,3,0,0,3,Unfurnished,Bagus,120,88,1
800,Ciledug,0,2200,2,3,0,0,4,Unfurnished,Bagus,126,90,1
650,Ciledug,0,1300,1,1,0,0,2,Unfurnished,Bagus,55,76,1
1850,Ciledug,0,3500,2,2,1,1,3,Furnished,Bagus,84,77,1
1300,Ciledug,0,7700,2,2,0,0,4,Unfurnished,Bagus,170,90,0
1000,Ciledug,1,2200,2,2,0,0,3,Unfurnished,Bagus,75,51,1
8500,Ciledug,0,4400,1,3,0,0,3,Furnished,Bagus,275,858,1
950,Panongan,0,1300,1,2,1,1,2,Unfurnished,Bagus,51,96,1
1880,Panongan,0,2200,2,4,0,0,4,Unfurnished,Bagus,260,157,1
1350,Panongan,0,4400,2,2,0,0,3,Furnished,Bagus,80,72,0
640,Panongan,1,2200,1,1,0,0,2,Unfurnished,Bagus,38,72,1
325,Panongan,0,1300,1,1,0,0,2,Unfurnished,Bagus,42,60,1
450,Panongan,0,1300,1,1,0,0,2,Unfurnished,Butuh renovasi,115,115,1
275,Panongan,0,1300,1,1,0,0,2,Unfurnished,Bagus,60,60,1
630,Panongan,1,1300,1,2,0,0,2,Unfurnished,Bagus,40,72,0
1130,Panongan,1,2200,2,2,0,0,3,Unfurnished,Bagus,82,84,1
540,Panongan,0,2200,1,1,0,0,2,Unfurnished,Bagus,36,72,1
825,Panongan,1,2200,2,2,0,0,2,Unfurnished,Bagus,110,96,1
