price,Kecamatan,komplek,Listrik,Lantai,KM,KMP,KP,KT,Kondisi,kondisi_properti,LB,LT,carport/Garage
1550,Jombang,0,3500,1,2,1,1,2,Unfurnished,Bagus,140,147,1
1550,Jombang,1,4400,2,2,1,1,3,Unfurnished,Bagus,280,200,1
389,Suradita,1,1300,1,1,0,0,2,Unfurnished,Bagus,35,60,1
2390,Suradita,1,2200,2,3,0,0,3,Furnished,Bagus,145,135,1
2390,Suradita,0,2200,2,3,0,0,3,Furnished,Bagus,145,135,0
625,Suradita,0,1300,1,1,0,0,2,Unfurnished,Bagus,60,72,1
1200,Suradita,1,1300,1,2,0,0,3,Unfurnished,Bagus,54,72,0
800,Suradita,0,2200,1,2,0,0,3,Furnished,Bagus,65,96,1
900,Suradita,1,2200,2,3,0,0,3,Unfurnished,Bagus,72,72,1
840,Suradita,1,2200,1,2,0,0,3,Unfurnished,Bagus,144,72,1
1100,Jombang,1,2200,1,1,0,0,1,Furnished,Bagus,45,60,1
700,Suradita,1,2200,1,1,0,0,2,Unfurnished,Bagus,39,72,1
300,Suradita,1,1300,1,1,0,0,2,Unfurnished,Bagus,35,60,1
200,Suradita,0,900,1,1,0,0,1,Unfurnished,Butuh renovasi,45,90,0
950,Suradita,0,2200,1,2,0,0,3,Unfurnished,Bagus,110,137,1
585,Suradita,0,2200,1,1,0,0,2,Unfurnished,Bagus,40,71,0
850,Suradita,0,2200,1,2,0,0,3,Unfurnished,Bagus,65,96,1
1880,Cikupa,0,2200,2,4,0,1,4,Unfurnished,Bagus,110,108,0
1800,Cikupa,0,3500,2,3,1,1,3,Unfurnished,Bagus,200,160,0
910,Karawaci,0,2200,1,1,0,0,3,Unfurnished,Bagus,77,150,0
1060,Curug,1,2200,2,2,0,0,3,Furnished,Bagus,160,125,1
1610,Suradita,1,2200,2,2,0,0,3,Unfurnished,Bagus,80,102,1
760,Suradita,0,1300,1,1,0,0,2,Unfurnished,Bagus,36,60,1
1140,Suradita,1,1300,1,1,0,0,2,Unfurnished,Bagus,46,72,1
725,Suradita,1,2200,1,1,0,0,2,Unfurnished,Bagus,30,50,1
1220,Karang Tengah,0,2200,1,1,0,0,2,Unfurnished,Bagus,46,78,1
1350,Karang Tengah,0,2200,2,1,0,0,2,Unfurnished,Bagus,90,78,0
1850,Permata Medang,0,2200,1,1,0,0,1,Furnished,Bagus,73,77,0
3650,BSD Golden Viena,0,5500,2,3,1,1,4,Unfurnished,Bagus,250,273,1
3500,BSD Golden Viena,0,4400,2,3,1,1,3,Unfurnished,Bagus,275,180,1
590,Karawaci,0,2200,1,2,0,0,2,Unfurnished,Bagus,90,90,0
150,Karawaci,1,2200,1,3,0,0,3,Unfurnished,Bagus,90,80,1
1800,Karawaci,0,2200,2,2,0,0,4,Unfurnished,Bagus,156,156,1
720,Karawaci,0,1300,1,1,0,0,2,Unfurnished,Bagus,36,72,1
1150,Jombang,0,2200,2,2,0,1,2,Unfurnished,Bagus,170,90,1
2800,Jombang,0,2200,1,2,0,0,3,Furnished,Bagus,108,210,1
2700,Jombang,0,5500,1,3,1,1,3,Furnished,Bagus,139,124,1
2800,Jombang,0,3500,1,2,0,0,3,Furnished,Bagus,150,220,1
2300,Jombang,1,5500,1,1,0,0,2,Unfurnished,Bagus,60,200,1
3000,Jombang,0,2200,1,2,1,1,4,Furnished,Bagus,160,250,1
2700,Jombang,0,3500,1,1,0,0,3,Furnished,Bagus,150,180,0
1490,Jombang,1,2200,2,2,0,0,4,Unfurnished,Bagus,144,100,1
2100,Jombang,1,5500,1,1,0,0,2,Unfurnished,Bagus,60,200,0
2000,Jombang,0,2200,2,3,0,0,4,Unfurnished,Bagus,180,112,1
2200,Jombang,0,2200,2,3,1,1,4,Unfurnished,Bagus,200,149,1
1950,Jombang,1,2200,1,2,0,1,2,Unfurnished,Bagus,242,303,1
875,Jombang,1,1300,1,2,1,1,2,Unfurnished,Bagus,65,72,1
2800,Jombang,0,2200,2,2,0,0,3,Furnished,Bagus,108,210,1
1500,Jombang,0,1300,2,2,0,0,3,Furnished,Bagus,107,107,1
548,Jombang,0,1300,1,1,0,0,2,Unfurnished,Bagus,36,60,1
1600,Jombang,1,4400,2,2,0,0,3,Unfurnished,Bagus,250,124,1
1300,Permata Medang,0,5500,2,2,0,0,5,Furnished,Bagus,180,90,0
1450,Permata Medang,1,2200,1,1,0,0,3,Unfurnished,Bagus,80,120,1
1360,Permata Medang,1,3500,1,1,0,0,2,Furnished,Bagus,80,98,0
1500,Permata Medang,0,3300,1,3,0,0,4,Unfurnished,Bagus,150,200,0
1650,Permata Medang,0,2200,1,1,0,0,3,Furnished,Bagus,112,116,0
675,Permata Medang,0,1300,1,1,0,0,2,Unfurnished,Bagus,42,60,1
