price,Kecamatan,kondisi_perabotan,luas_bangunan,luas_tanah,daya_listrik
2400,BSD Golden Viena,1,120,160,2200.0
3500,BSD Golden Viena,2,275,180,4400.0
3500,BSD Golden Viena,2,175,240,3500.0
1950,BSD Golden Viena,2,250,160,2200.0
3200,BSD Golden Viena,1,400,225,6600.0
2050,BSD Golden Viena,2,250,160,2200.0
3500,BSD Golden Viena,1,150,238,3500.0
5300,BSD Golden Viena,2,450,346,5500.0
331,Mauk,1,66,36,1300.0
360,Mauk,1,66,42,1300.0
360,Mauk,1,66,37,1300.0
283,Mauk,1,66,35,1300.0
1250,Mauk,2,200,96,2200.0
397,Mauk,1,66,45,1300.0
335,Mauk,1,66,37,1300.0
525,Mauk,2,131,260,2200.0
181,Mauk,1,66,30,1300.0
950,Mauk,1,203,125,2200.0
650,Mauk,1,40,120,1300.0
720,Mauk,1,62,98,2200.0
2700,Permata Medang,2,220,178,12700.0
1200,Permata Medang,1,180,90,5500.0
2200,Metro Permata,2,216,112,2200.0
1800,Metro Permata,1,99,87,2200.0
2500,Metro Permata,2,135,144,3500.0
6000,Metro Permata,1,172,220,2200.0
1950,Metro Permata,2,112,160,3500.0
2800,Metro Permata,2,200,144,5500.0
1650,Metro Permata,2,125,118,2200.0
1350,Metro Permata,2,100,102,2200.0
990,Metro Permata,1,5,78,1300.0
975,Metro Permata,2,50,78,2200.0
1500,Metro Permata,2,155,84,3300.0
2560,Metro Permata,1,140,144,3500.0
4500,Metro Permata,2,370,263,6600.0
2500,Metro Permata,2,180,160,3500.0
6000,Metro Permata,2,500,276,8000.0
1600,Metro Permata,2,112,112,2200.0
2270,Metro Permata,2,150,105,3500.0
1200,Metro Permata,1,60,84,2200.0
3150,BSD The Icon,2,120,162,4400.0
1900,BSD The Icon,1,73,119,2200.0
2150,BSD The Icon,2,73,119,2200.0
3100,BSD The Icon,1,150,144,4400.0
1600,BSD The Icon,1,73,90,2200.0
5250,BSD The Icon,1,225,202,7700.0
3100,BSD The Icon,2,200,144,2200.0
4500,BSD The Icon,2,175,200,4400.0
2150,BSD The Icon,2,80,112,2200.0
3300,BSD The Icon,2,120,162,2200.0
1000,Jurangmangu,1,80,100,2200.0
4100,BSD The Icon,2,229,132,4400.0
790,Jombang,2,36,72,1300.0
997,Jurangmangu,1,60,60,2200.0
1900,Jurangmangu,1,150,60,3500.0
1800,Jurangmangu,2,200,175,5500.0
2800,Jurangmangu,2,124,354,2200.0
1500,Jurangmangu,1,140,200,3500.0
4950,Jurangmangu,1,260,264,2200.0
600,Jurangmangu,1,66,60,2200.0
850,Permata Medang,1,78,90,1300.0
600,Permata Medang,1,55,60,2200.0
3300,BSD Residence One,2,160,199,2200.0
3500,BSD Residence One,1,300,200,4400.0
2850,BSD Residence One,1,250,160,5500.0
3700,BSD Residence One,1,399,250,6600.0
1500,Jurangmangu,2,100,150,2200.0
2800,Jurangmangu,2,300,350,2200.0
890,Jurangmangu,2,60,90,2200.0
1500,Jurangmangu,1,190,119,2200.0
2050,Jurangmangu,1,105,106,2200.0
699,Jurangmangu,2,60,60,1300.0
775,Jurangmangu,1,48,72,2200.0
1850,Jurangmangu,2,220,200,3300.0
3640,BSD Eminent,2,102,128,2200.0
3000,BSD Eminent,1,114,160,2200.0
5000,BSD Eminent,1,228,200,2200.0
2150,BSD Residence One,2,147,108,7700.0
2250,BSD Residence One,2,156,136,3500.0
2800,BSD Residence One,2,300,160,4400.0
2800,BSD Residence One,1,320,160,5500.0
2900,BSD Residence One,2,250,160,2200.0
4500,BSD Residence One,1,152,292,2200.0
3000,BSD Eminent,2,114,144,2200.0
990,BSD Eminent,2,45,40,1300.0
7000,BSD Residence One,2,282,231,7700.0
3000,BSD Residence One,2,180,144,2200.0
1800,BSD Residence One,2,135,90,2200.0
1950,BSD Residence One,1,135,108,2200.0
2970,BSD Eminent,2,114,144,3500.0
4000,BSD Eminent,2,160,180,2200.0
3500,BSD Eminent,1,171,135,7700.0
2500,BSD Eminent,2,91,112,2200.0
3300,BSD Residence One,1,270,207,4400.0
4500,BSD Residence One,2,182,200,3500.0
3500,BSD Residence One,2,300,160,6600.0
3500,BSD Eminent,1,220,120,2200.0
1750,Gading Serpong Karelia Village,1,90,77,2200.0
1700,Gading Serpong Karelia Village,2,84,72,2200.0
1700,Gading Serpong Karelia Village,2,84,72,4400.0
1800,Gading Serpong Karelia Village,2,89,72,2200.0
1000,Kelapa Dua,1,100,120,2200.0
880,Kelapa Dua,1,180,180,2200.0
2800,Kelapa Dua,2,300,195,6600.0
900,Kelapa Dua,1,170,90,2200.0
2200,Gading Serpong Karelia Village,2,105,84,7700.0
2100,Kelapa Dua,2,180,135,3500.0
1400,Gading Serpong Karelia Village,2,77,60,900.0
2250,Kelapa Dua,2,87,119,2200.0
3700,Kelapa Dua,2,116,144,2200.0
800,Kelapa Dua,1,90,109,1300.0
2000,Kelapa Dua,2,259,180,1300.0
1700,Gading Serpong Karelia Village,2,84,72,3300.0
1700,Gading Serpong Karelia Village,2,89,72,2200.0
500,Kelapa Dua,1,50,60,1300.0
5500,Kelapa Dua,2,200,324,5500.0
630,Kelapa Dua,1,60,72,1300.0
1800,Gading Serpong Karelia Village,2,84,72,3500.0
4500,Pondok Ranji,1,274,243,4400.0
3300,Pondok Ranji,2,187,134,4400.0
2200,Pondok Ranji,1,160,135,3500.0
1700,Pondok Ranji,1,86,60,2200.0
3180,Pondok Ranji,1,130,162,3500.0
1200,Pondok Ranji,1,110,130,2200.0
6500,Pondok Ranji,1,450,460,8000.0
4600,Pondok Ranji,1,350,440,3500.0
1450,BSD Graha Raya,2,120,84,5500.0
2250,BSD Graha Raya,2,144,128,2200.0
900,BSD Graha Raya,1,72,72,2200.0
1600,Pondok Ranji,1,144,72,3500.0
2200,Pondok Ranji,1,160,132,3500.0
1500,Pondok Ranji,1,100,133,3500.0
1700,Pondok Ranji,1,80,160,2200.0
950,Pondok Ranji,1,100,112,1300.0
1200,BSD Graha Raya,2,53,90,2200.0
1000,BSD Graha Raya,2,45,90,1300.0
690,BSD Graha Raya,1,45,60,2200.0
1350,BSD Graha Raya,1,70,63,2200.0
4500,Pondok Ranji,2,240,120,5500.0
2800,Pondok Ranji,1,153,129,2200.0
2980,Pondok Ranji,2,120,107,3500.0
1900,Pondok Ranji,1,162,98,3300.0
1800,Pondok Ranji,1,111,144,3300.0
1500,BSD Graha Raya,2,90,84,2200.0
980,BSD Graha Raya,1,72,72,1300.0
3500,BSD Graha Raya,1,270,253,2200.0
1290,BSD Graha Raya,2,53,90,1300.0
2000,BSD Graha Raya,1,177,161,7700.0
2400,BSD Graha Raya,1,180,130,3500.0
2300,BSD Graha Raya,2,120,135,4400.0
2350,BSD Graha Raya,2,250,210,4400.0
2800,BSD Residence One,2,220,160,4400.0
1400,BSD Residence One,1,120,90,2200.0
1970,BSD Residence One,2,135,108,2200.0
2100,BSD Residence One,2,147,108,7700.0
3900,BSD Residence One,1,399,250,2200.0
925,Kelapa Dua,2,132,84,2200.0
525,Kelapa Dua,1,36,60,1300.0
1850,Pondok Ranji,1,162,98,2200.0
3500,Pondok Ranji,2,200,120,2200.0
1850,Pondok Ranji,1,69,75,2200.0
2140,BSD City,1,170,105,5500.0
5500,BSD City,1,235,136,4400.0
890,BSD City,1,54,105,3500.0
3900,BSD City,1,300,360,6600.0
960,BSD City,1,54,72,1300.0
1750,BSD City,1,72,112,1300.0
3800,BSD City,1,265,200,4400.0
1350,BSD City,1,88,78,2200.0
910,BSD City,1,90,120,1300.0
3500,BSD City,1,220,180,5500.0
970,BSD City,1,120,133,2200.0
960,BSD City,1,41,72,1300.0
810,BSD City,1,60,72,1300.0
6500,BSD City,2,385,365,6600.0
1100,Poris,2,75,47,1300.0
795,Poris,1,60,66,2200.0
1050,Poris,1,100,50,2200.0
1250,Poris,2,66,55,2200.0
1100,Poris,1,104,52,2200.0
1100,Poris,2,98,48,2200.0
1570,Poris,1,130,70,2200.0
1300,Poris,2,63,90,2200.0
1250,Poris,1,120,60,2200.0
1100,Poris,2,75,50,2200.0
1100,Poris,1,100,60,2200.0
950,Poris,1,50,66,2200.0
1100,Poris,1,90,52,2200.0
1100,Poris,2,90,48,2200.0
750,Poris,1,55,60,2200.0
850,Poris,1,63,77,2200.0
730,Poris,1,60,60,1300.0
800,Poris,1,60,60,1300.0
1100,Poris,2,75,48,2200.0
3500,Karang Tengah,1,300,221,1300.0
2450,Karang Tengah,2,288,144,4400.0
1950,Karang Tengah,1,140,126,2200.0
4350,Karang Tengah,1,318,288,6600.0
2450,Karang Tengah,1,288,144,4400.0
670,Karang Tengah,2,80,54,900.0
700,Karang Tengah,1,72,54,2200.0
3400,Karang Tengah,1,300,280,6600.0
895,Karang Tengah,1,80,52,2200.0
1400,Karang Tengah,1,140,80,3500.0
1900,Karang Tengah,1,150,160,3500.0
3400,Karang Tengah,1,158,88,4400.0
4200,Karang Tengah,2,370,258,6600.0
780,Pondok Benda,1,70,60,1300.0
1800,Pondok Benda,1,250,128,2200.0
497,Pondok Benda,1,46,60,1300.0
